,A,actions,delta_shares,quantity,delta_vt,total_reward,total_profit,portfolio_value,nav,cash
4550,44.25585846497024,4,0,-1000,34.53123020005222,4705.589856011192,5655.273837396919,55655.27383739692,-44221.327234770186,99876.6010721671
4551,44.221327234770186,4,0,-1000,72.88505613311713,4778.2093005739325,5728.158893530039,55728.15889353004,-44148.442178637066,99876.6010721671
4552,44.14844217863707,4,0,-1000,58.6373223961445,4836.674706191187,5786.796215926181,55786.79621592618,-44089.804856240924,99876.6010721671
4553,44.089804856240924,4,0,-1000,28.825750263862915,4865.458910261136,5815.6219661900395,55815.62196619004,-44060.979105977065,99876.6010721671
4554,44.06097910597706,4,0,-1000,7.59847524458479,4873.054498664419,5823.220441434627,55823.22044143463,-44053.38063073248,99876.6010721671
4555,44.05338063073248,4,0,-1000,-65.81641745536615,4807.02149116872,5757.404023979259,55757.40402397926,-44119.197048187845,99876.6010721671
4556,44.11919704818784,4,0,-1000,35.84838385366851,4842.805619691142,5793.25240783293,55793.25240783293,-44083.348664334175,99876.6010721671
4557,44.083348664334174,4,0,-1000,-74.8492678588164,4767.676231187375,5718.403139974114,55718.403139974114,-44158.19793219299,99876.6010721671
4558,44.15819793219299,4,0,-1000,102.00179953029931,4869.157812362304,5820.404939504413,55820.40493950441,-44056.19613266269,99876.6010721671
4559,44.05619613266269,4,0,-1000,-164.60764535969474,4703.195383157066,5655.797294144715,55655.797294144715,-44220.80377802239,99876.6010721671
4560,44.220803778022386,4,0,-1000,98.94840447974929,4801.654248299361,5754.745698624465,55754.745698624465,-44121.85537354264,99876.6010721671
4561,44.12185537354264,4,0,-1000,-12.514779444877888,4789.131637869255,5742.230919179587,55742.23091917959,-44134.37015298752,99876.6010721671
4562,44.134370152987515,4,0,-1000,13.425426740163005,4802.548052505261,5755.65634591975,55755.65634591975,-44120.944726247355,99876.6010721671
4563,44.12094472624735,4,0,-1000,48.82011500295391,4851.248997326769,5804.476460922706,55804.476460922706,-44072.1246112444,99876.6010721671
4564,44.0721246112444,4,0,-1000,-42.33272677220157,4808.826667566769,5762.143734150508,55762.14373415051,-44114.4573380166,99876.6010721671
4565,44.1144573380166,4,0,-1000,-66.15851906365577,4742.449301020879,5695.985215086846,55695.98521508685,-44180.61585708026,99876.6010721671
4566,44.180615857080255,4,0,-1000,10.605339213974219,4753.049016573861,5706.590554300827,55706.59055430083,-44170.01051786628,99876.6010721671
4567,44.17001051786628,4,0,-1000,-75.76090792249346,4677.001122892905,5630.829646378334,55630.82964637833,-44245.77142578877,99876.6010721671
4568,44.245771425788774,4,0,-1000,-4.158404576237729,4672.841853700236,5626.671241802091,55626.67124180209,-44249.929830365014,99876.6010721671
4569,44.24992983036501,4,0,-1000,66.36949868252628,4738.991106864994,5693.040740484619,55693.04074048462,-44183.560331682485,99876.6010721671
4570,44.183560331682486,4,0,-1000,4.796204160591344,4743.786160846868,5697.8369446452125,55697.83694464521,-44178.76412752189,99876.6010721671
4571,44.178764127521895,4,0,-1000,32.792761155398864,4776.525153743058,5730.629705800609,55730.62970580061,-44145.971366366495,99876.6010721671
4572,44.145971366366496,4,0,-1000,-28.89351428869702,4747.589897695963,5701.736191511911,55701.73619151191,-44174.864880655194,99876.6010721671
4573,44.17486488065519,4,0,-1000,24.778024654260378,4772.337224824935,5726.5142161661715,55726.51421616617,-44150.08685600093,99876.6010721671
4574,44.15008685600093,4,0,-1000,4.4792226825478565,4776.815444335691,5730.993438848724,55730.99343884872,-44145.60763331838,99876.6010721671
4575,44.145607633318384,4,0,-1000,67.5551940994481,4844.142453222648,5798.548632948165,55798.548632948165,-44078.05243921894,99876.6010721671
4576,44.078052439218936,4,0,-1000,-66.86296414439852,4777.055956279541,5731.685668803773,55731.68566880377,-44144.91540336333,99876.6010721671
4577,44.144915403363335,4,0,-1000,22.04375340674858,4799.0754133330765,5753.729422210519,55753.72942221052,-44122.871649956585,99876.6010721671
4578,44.122871649956586,4,0,-1000,66.5303719905026,4865.3844708037195,5820.259794201018,55820.25979420102,-44056.34127796609,99876.6010721671
4579,44.056341277966084,4,0,-1000,-164.4125371212084,4699.620359564379,5655.847257079811,55655.84725707981,-44220.75381508729,99876.6010721671
4580,44.22075381508729,4,0,-1000,88.12426847525501,4787.356333704919,5743.971525555069,55743.97152555507,-44132.629546612035,99876.6010721671
4581,44.13262954661204,4,0,-1000,-31.83399988478186,4755.471663642704,5712.137525670289,55712.13752567029,-44164.463546496816,99876.6010721671
4582,44.16446354649682,4,0,-1000,134.77827960247168,4889.341684012546,5846.915805272758,55846.91580527276,-44029.68526689435,99876.6010721671
4583,44.02968526689435,4,0,-1000,-19.370124558584223,4869.95279936769,5827.5456807141745,55827.545680714175,-44049.05539145293,99876.6010721671
4584,44.04905539145293,4,0,-1000,-11.874686375982435,4858.0710625828815,5815.670994338194,55815.670994338194,-44060.93007782891,99876.6010721671
4585,44.060930077828914,4,0,-1000,15.568624760327054,4873.6275682393625,5831.239619098516,55831.23961909852,-44045.36145306859,99876.6010721671
4586,44.04536145306859,4,0,-1000,84.69697428312628,4957.965863649853,5915.936593381644,55915.936593381644,-43960.66447878546,99876.6010721671
4587,43.96066447878546,4,0,-1000,53.18483401749319,5011.009266338873,5969.121427399135,55969.121427399135,-43907.47964476797,99876.6010721671
4588,43.90747964476797,4,0,-1000,49.89578341949397,5060.780570298215,6019.017210818631,56019.01721081863,-43857.583861348474,99876.6010721671
4589,43.85758386134847,4,0,-1000,72.60327710304892,5133.1202856089585,6091.620487921682,56091.62048792168,-43784.98058424542,99876.6010721671
4590,43.784980584245424,4,0,-1000,58.50317913284897,5191.452333643375,6150.123667054526,56150.123667054526,-43726.47740511258,99876.6010721671
4591,43.726477405112576,4,0,-1000,-88.99789789889212,5102.058404452961,6061.125769155638,56061.12576915564,-43815.475303011466,99876.6010721671
4592,43.81547530301147,4,0,-1000,-24.407904965940475,5077.62071219578,6036.717864189697,56036.7178641897,-43839.88320797741,99876.6010721671
4593,43.83988320797741,4,0,-1000,-82.74658632750231,4994.531775990835,5953.971277862191,55953.97127786219,-43922.629794304914,99876.6010721671
4594,43.92262979430491,4,0,-1000,61.22152135720427,5055.5658936141745,6015.192799219396,56015.192799219396,-43861.40827294771,99876.6010721671
4595,43.861408272947706,4,0,-1000,26.585756998599663,5082.116310489015,6041.778556218,56041.778556218,-43834.822515949105,99876.6010721671
4596,43.83482251594911,4,0,-1000,107.38964370618476,5188.929327416432,6149.168199924185,56149.168199924185,-43727.43287224292,99876.6010721671
4597,43.72743287224292,4,0,-1000,73.39250233003725,5262.052506776556,6222.560702254217,56222.56070225422,-43654.04036991289,99876.6010721671
4598,43.654040369912885,4,0,-1000,17.80404540183156,5279.840702976754,6240.364747656051,56240.36474765605,-43636.236324511054,99876.6010721671
4599,43.63623632451105,4,0,-1000,25.78333930861021,5305.590803256069,6266.148086964662,56266.14808696466,-43610.45298520244,99876.6010721671
4600,43.61045298520244,4,0,-1000,-109.91948670876184,5195.067201869391,6156.228600255898,56156.2286002559,-43720.37247191121,99876.6010721671
4601,43.720372471911205,4,0,-1000,-6.843640329392997,5188.221219769351,6149.384959926509,56149.38495992651,-43727.216112240596,99876.6010721671
4602,43.7272161122406,4,0,-1000,16.2279178622029,5204.435970365646,6165.612877788713,56165.61287778871,-43710.98819437839,99876.6010721671
4603,43.710988194378395,4,0,-1000,-28.574299399139136,5175.8208464372,6137.038578389569,56137.03857838957,-43739.562493777536,99876.6010721671
4604,43.739562493777534,4,0,-1000,-1.82486692503403,5173.995813005201,6135.2137114645375,56135.21371146454,-43741.38736070257,99876.6010721671
4605,43.74138736070257,4,0,-1000,66.94686095862323,5240.718579854213,6202.160572423163,56202.16057242316,-43674.44049974394,99876.6010721671
4606,43.674440499743945,4,0,-1000,38.53837713459285,5279.182696663198,6240.698949557751,56240.69894955775,-43635.902122609354,99876.6010721671
4607,43.63590212260935,4,0,-1000,-86.57959902460988,5192.2282962902245,6154.119350533139,56154.11935053314,-43722.481721633965,99876.6010721671
4608,43.72248172163396,4,0,-1000,-80.85319114709222,5111.048243217199,6073.266159386054,56073.266159386054,-43803.33491278105,99876.6010721671
4609,43.803334912781054,4,0,-1000,-16.0984525580119,5094.936832650449,6057.1677068280405,56057.16770682804,-43819.433365339064,99876.6010721671
